Класс;Остался жив;Имя;Пол;Возрастная группа (лет);Возраст (лет);Братья, Сестры, Супруги на борту;Родители, дети на борту;Стоимость проезда ($);Категория стоимости ($);Порт посадки;Лодка;Пункт следования
1;yes;Brown, Mrs. John Murray (Caroline Lane Lamson);female;50 - 59;59;2;0;51,4792;50;Southampton;D;Belmont, MA
1;yes;Bucknell, Mrs. William Robert (Emma Eliza Ward);female;60 - 69;60;0;0;76,2917;80;Cherbourg;8;Philadelphia, PA
1;yes;Burns, Miss. Elizabeth Margaret;female;40 - 49;41;0;0;134,5;130;Cherbourg;3;
1;no;Butt, Major. Archibald Willingham;male;40 - 49;45;0;0;26,55;30;Southampton;;Washington, DC
1;no;Cairns, Mr. Alexander;male;unknown;;0;0;31;30;Southampton;;
1;yes;Calderhead, Mr. Edward Pennington;male;40 - 49;42;0;0;26,2875;30;Southampton;5;New York, NY
1;yes;Candee, Mrs. Edward (Helen Churchill Hungerford);female;50 - 59;53;0;0;27,4458;30;Cherbourg;6;Washington, DC
1;yes;Cardeza, Mr. Thomas Drake Martinez;male;30 - 39;36;0;1;512,3292;510;Cherbourg;3;Austria-Hungary / Germantown, Philadelphia, PA
1;yes;Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);female;50 - 59;58;0;1;512,3292;510;Cherbourg;3;Germantown, Philadelphia, PA
1;no;Carlsson, Mr. Frans Olof;male;30 - 39;33;0;0;5;10;Southampton;;New York, NY
1;no;Carrau, Mr. Francisco M;male;20 - 29;28;0;0;47,1;50;Southampton;;Montevideo, Uruguay
1;no;Carrau, Mr. Jose Pedro;male;10 - 19;17;0;0;47,1;50;Southampton;;Montevideo, Uruguay
1;yes;Carter, Master. William Thornton II;male;10 - 19;11;1;2;120;120;Southampton;4;Bryn Mawr, PA
1;yes;Carter, Miss. Lucile Polk;female;10 - 19;14;1;2;120;120;Southampton;4;Bryn Mawr, PA
1;yes;Carter, Mr. William Ernest;male;30 - 39;36;1;2;120;120;Southampton;C;Bryn Mawr, PA
1;yes;Carter, Mrs. William Ernest (Lucile Polk);female;30 - 39;36;1;2;120;120;Southampton;4;Bryn Mawr, PA
1;no;Case, Mr. Howard Brown;male;40 - 49;49;0;0;26;30;Southampton;;Ascot, Berkshire / Rochester, NY
1;yes;Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick);female;unknown;;0;0;27,7208;30;Cherbourg;5;New York, NY
1;no;Cavendish, Mr. Tyrell William;male;30 - 39;36;1;0;78,85;80;Southampton;;Little Onn Hall, Staffs
1;yes;Cavendish, Mrs. Tyrell William (Julia Florence Siegel);female;70 - 79;76;1;0;78,85;80;Southampton;6;Little Onn Hall, Staffs
1;no;Chaffee, Mr. Herbert Fuller;male;40 - 49;46;1;0;61,175;60;Southampton;;Amenia, ND
1;yes;Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood);female;40 - 49;47;1;0;61,175;60;Southampton;4;Amenia, ND
1;yes;Chambers, Mr. Norman Campbell;male;20 - 29;27;1;0;53,1;50;Southampton;5;New York, NY / Ithaca, NY
1;yes;Chambers, Mrs. Norman Campbell (Bertha Griggs);female;30 - 39;33;1;0;53,1;50;Southampton;5;New York, NY / Ithaca, NY
1;yes;Chaudanson, Miss. Victorine;female;30 - 39;36;0;0;262,375;260;Cherbourg;4;
1;yes;Cherry, Miss. Gladys;female;30 - 39;30;0;0;86,5;90;Southampton;8;London, England
1;yes;Chevre, Mr. Paul Romaine;male;40 - 49;45;0;0;29,7;30;Cherbourg;7;Paris, France
1;yes;Chibnall, Mrs. (Edith Martha Bowerman);female;unknown;;0;1;55;60;Southampton;6;St Leonards-on-Sea, England Ohio
1;no;Chisholm, Mr. Roderick Robert Crispin;male;unknown;;0;0;0;0;Southampton;;Liverpool, England / Belfast
1;no;Clark, Mr. Walter Miller;male;20 - 29;27;1;0;136,7792;140;Cherbourg;;Los Angeles, CA
1;yes;Clark, Mrs. Walter Miller (Virginia McDowell);female;20 - 29;26;1;0;136,7792;140;Cherbourg;4;Los Angeles, CA
1;yes;Cleaver, Miss. Alice;female;20 - 29;22;0;0;151,55;150;Southampton;11;
1;no;Clifford, Mr. George Quincy;male;unknown;;0;0;52;50;Southampton;;Stoughton, MA
1;no;Colley, Mr. Edward Pomeroy;male;40 - 49;47;0;0;25,5875;30;Southampton;;Victoria, BC
1;yes;Compton, Miss. Sara Rebecca;female;30 - 39;39;1;1;83,1583;80;Cherbourg;14;Lakewood, NJ
1;no;Compton, Mr. Alexander Taylor Jr;male;30 - 39;37;1;1;83,1583;80;Cherbourg;;Lakewood, NJ
1;yes;Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll);female;60 - 69;64;0;2;83,1583;80;Cherbourg;14;Lakewood, NJ
1;yes;Cornell, Mrs. Robert Clifford (Malvina Helen Lamson);female;50 - 59;55;2;0;25,7;30;Southampton;2;New York, NY
1;no;Crafton, Mr. John Bertram;male;unknown;;0;0;26,55;30;Southampton;;Roachdale, IN
1;no;Crosby, Capt. Edward Gifford;male;70 - 79;70;1;1;71;70;Southampton;;Milwaukee, WI
1;yes;Crosby, Miss. Harriet R;female;30 - 39;36;0;2;71;70;Southampton;7;Milwaukee, WI
1;yes;Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead);female;60 - 69;64;1;1;26,55;30;Southampton;7;Milwaukee, WI
1;no;Cumings, Mr. John Bradley;male;30 - 39;39;1;0;71,2833;70;Cherbourg;;New York, NY
1;yes;Cumings, Mrs. John Bradley (Florence Briggs Thayer);female;30 - 39;38;1;0;71,2833;70;Cherbourg;4;New York, NY
1;yes;Daly, Mr. Peter Denis;male;50 - 59;51;0;0;26,55;30;Southampton;5 9;Lima, Peru
1;yes;Daniel, Mr. Robert Williams;male;20 - 29;27;0;0;30,5;30;Southampton;3;Philadelphia, PA
1;yes;Daniels, Miss. Sarah;female;30 - 39;33;0;0;151,55;150;Southampton;8;
1;no;Davidson, Mr. Thornton;male;30 - 39;31;1;0;52;50;Southampton;;Montreal, PQ
1;yes;Davidson, Mrs. Thornton (Orian Hays);female;20 - 29;27;1;2;52;50;Southampton;3;Montreal, PQ
1;yes;Dick, Mr. Albert Adrian;male;30 - 39;31;1;0;57;60;Southampton;3;Calgary, AB
1;yes;Dick, Mrs. Albert Adrian (Vera Gillespie);female;10 - 19;17;1;0;57;60;Southampton;3;Calgary, AB
1;yes;Dodge, Dr. Washington;male;50 - 59;53;1;1;81,8583;80;Southampton;13;San Francisco, CA
1;yes;Dodge, Master. Washington;male;0 - 9;4;0;2;81,8583;80;Southampton;5;San Francisco, CA
1;yes;Dodge, Mrs. Washington (Ruth Vidaver);female;50 - 59;54;1;1;81,8583;80;Southampton;5;San Francisco, CA
1;no;Douglas, Mr. Walter Donald;male;50 - 59;50;1;0;106,425;110;Cherbourg;;Deephaven, MN / Cedar Rapids, IA
1;yes;Douglas, Mrs. Frederick Charles (Mary Helene Baxter);female;20 - 29;27;1;1;247,5208;250;Cherbourg;6;Montreal, PQ
1;yes;Douglas, Mrs. Walter Donald (Mahala Dutton);female;40 - 49;48;1;0;106,425;110;Cherbourg;2;Deephaven, MN / Cedar Rapids, IA
1;yes;"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")";female;40 - 49;48;1;0;39,6;40;Cherbourg;1;London / Paris
1;yes;"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")";male;40 - 49;49;1;0;56,9292;60;Cherbourg;1;London / Paris
1;no;Dulles, Mr. William Crothers;male;30 - 39;39;0;0;29,7;30;Cherbourg;;Philadelphia, PA
1;yes;Earnshaw, Mrs. Boulton (Olive Potter);female;20 - 29;23;0;1;83,1583;80;Cherbourg;7;Mt Airy, Philadelphia, PA
1;yes;Endres, Miss. Caroline Louise;female;30 - 39;38;0;0;227,525;230;Cherbourg;4;New York, NY
1;yes;Eustis, Miss. Elizabeth Mussey;female;50 - 59;54;1;0;78,2667;80;Cherbourg;4;Brookline, MA
1;no;Evans, Miss. Edith Corse;female;30 - 39;36;0;0;31,6792;30;Cherbourg;;New York, NY
1;no;Farthing, Mr. John;male;unknown;;0;0;221,7792;220;Southampton;;
1;yes;Flegenheim, Mrs. Alfred (Antoinette);female;unknown;;0;0;31,6833;30;Southampton;7;New York, NY
1;yes;Fleming, Miss. Margaret;female;unknown;;0;0;110,8833;110;Cherbourg;4;
1;yes;"Flynn, Mr. John Irwin (""Irving"")";male;30 - 39;36;0;0;26,3875;30;Southampton;5;Brooklyn, NY
1;no;Foreman, Mr. Benjamin Laventall;male;30 - 39;30;0;0;27,75;30;Cherbourg;;New York, NY
1;yes;Fortune, Miss. Alice Elizabeth;female;20 - 29;24;3;2;263;260;Southampton;10;Winnipeg, MB
1;yes;Fortune, Miss. Ethel Flora;female;20 - 29;28;3;2;263;260;Southampton;10;Winnipeg, MB
1;yes;Fortune, Miss. Mabel Helen;female;20 - 29;23;3;2;263;260;Southampton;10;Winnipeg, MB
1;no;Fortune, Mr. Charles Alexander;male;10 - 19;19;3;2;263;260;Southampton;;Winnipeg, MB
1;no;Fortune, Mr. Mark;male;60 - 69;64;1;4;263;260;Southampton;;Winnipeg, MB
1;yes;Fortune, Mrs. Mark (Mary McDougald);female;60 - 69;60;1;4;263;260;Southampton;10;Winnipeg, MB
1;yes;Francatelli, Miss. Laura Mabel;female;30 - 39;30;0;0;56,9292;60;Cherbourg;1;
1;no;Franklin, Mr. Thomas Parham;male;unknown;;0;0;26,55;30;Southampton;;Westcliff-on-Sea, Essex
1;yes;Frauenthal, Dr. Henry William;male;50 - 59;50;2;0;133,65;130;Southampton;5;New York, NY
1;yes;Frauenthal, Mr. Isaac Gerald;male;40 - 49;43;1;0;27,7208;30;Cherbourg;5;New York, NY
1;yes;Frauenthal, Mrs. Henry William (Clara Heinsheimer);female;unknown;;1;0;133,65;130;Southampton;5;New York, NY
1;yes;Frolicher, Miss. Hedwig Margaritha;female;20 - 29;22;0;2;49,5;50;Cherbourg;5;Zurich, Switzerland
1;yes;Frolicher-Stehli, Mr. Maxmillian;male;60 - 69;60;1;1;79,2;80;Cherbourg;5;Zurich, Switzerland
1;yes;Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli);female;40 - 49;48;1;1;79,2;80;Cherbourg;5;Zurich, Switzerland
1;no;Fry, Mr. Richard;male;unknown;;0;0;0;0;Southampton;;
1;no;Futrelle, Mr. Jacques Heath;male;30 - 39;37;1;0;53,1;50;Southampton;;Scituate, MA
1;yes;Futrelle, Mrs. Jacques Heath (Lily May Peel);female;30 - 39;35;1;0;53,1;50;Southampton;D;Scituate, MA
1;no;Gee, Mr. Arthur H;male;40 - 49;47;0;0;38,5;40;Southampton;;St Anne's-on-Sea, Lancashire
1;yes;Geiger, Miss. Amalie;female;30 - 39;35;0;0;211,5;210;Cherbourg;4;
1;yes;Gibson, Miss. Dorothy Winifred;female;20 - 29;22;0;1;59,4;60;Cherbourg;7;New York, NY
1;yes;Gibson, Mrs. Leonard (Pauline C Boeson);female;40 - 49;45;0;1;59,4;60;Cherbourg;7;New York, NY
1;no;Giglio, Mr. Victor;male;20 - 29;24;0;0;79,2;80;Cherbourg;;
1;yes;Goldenberg, Mr. Samuel L;male;40 - 49;49;1;0;89,1042;90;Cherbourg;5;Paris, France / New York, NY
1;yes;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);female;unknown;;1;0;89,1042;90;Cherbourg;5;Paris, France / New York, NY
1;no;Goldschmidt, Mr. George B;male;70 - 79;71;0;0;34,6542;30;Cherbourg;;New York, NY
1;yes;Gracie, Col. Archibald IV;male;50 - 59;53;0;0;28,5;30;Cherbourg;B;Washington, DC
1;yes;Graham, Miss. Margaret Edith;female;10 - 19;19;0;0;30;30;Southampton;3;Greenwich, CT
1;no;Graham, Mr. George Edward;male;30 - 39;38;0;1;153,4625;150;Southampton;;Winnipeg, MB
1;yes;Graham, Mrs. William Thompson (Edith Junkins);female;50 - 59;58;0;1;153,4625;150;Southampton;3;Greenwich, CT
1;yes;Greenfield, Mr. William Bertram;male;20 - 29;23;0;1;63,3583;60;Cherbourg;7;New York, NY
1;yes;Greenfield, Mrs. Leo David (Blanche Strouse);female;40 - 49;45;0;1;63,3583;60;Cherbourg;7;New York, NY
1;no;Guggenheim, Mr. Benjamin;male;40 - 49;46;0;0;79,2;80;Cherbourg;;New York, NY
1;yes;Harder, Mr. George Achilles;male;20 - 29;25;1;0;55,4417;60;Cherbourg;5;Brooklyn, NY
1;yes;Harder, Mrs. George Achilles (Dorothy Annan);female;20 - 29;25;1;0;55,4417;60;Cherbourg;5;Brooklyn, NY
1;yes;Harper, Mr. Henry Sleeper;male;40 - 49;48;1;0;76,7292;80;Cherbourg;3;New York, NY
1;yes;Harper, Mrs. Henry Sleeper (Myna Haxtun);female;40 - 49;49;1;0;76,7292;80;Cherbourg;3;New York, NY
1;no;Harrington, Mr. Charles H;male;unknown;;0;0;42,4;40;Southampton;;
1;no;Harris, Mr. Henry Birkhardt;male;40 - 49;45;1;0;83,475;80;Southampton;;New York, NY
1;yes;Harris, Mrs. Henry Birkhardt (Irene Wallach);female;30 - 39;35;1;0;83,475;80;Southampton;D;New York, NY
1;no;Harrison, Mr. William;male;40 - 49;40;0;0;0;0;Southampton;;
1;yes;Hassab, Mr. Hammad;male;20 - 29;27;0;0;76,7292;80;Cherbourg;3;
1;yes;Hawksford, Mr. Walter James;male;unknown;;0;0;30;30;Southampton;3;Kingston, Surrey
1;yes;Hays, Miss. Margaret Bechstein;female;20 - 29;24;0;0;83,1583;80;Cherbourg;7;New York, NY
1;no;Hays, Mr. Charles Melville;male;50 - 59;55;1;1;93,5;90;Southampton;;Montreal, PQ
1;yes;Hays, Mrs. Charles Melville (Clara Jennings Gregg);female;50 - 59;52;1;1;93,5;90;Southampton;3;Montreal, PQ
1;no;Head, Mr. Christopher;male;40 - 49;42;0;0;42,5;40;Southampton;;London / Middlesex
1;no;Hilliard, Mr. Herbert Henry;male;unknown;;0;0;51,8625;50;Southampton;;Brighton, MA
1;no;Hipkins, Mr. William Edward;male;50 - 59;55;0;0;50;50;Southampton;;London / Birmingham
1;yes;Hippach, Miss. Jean Gertrude;female;10 - 19;16;0;1;57,9792;60;Cherbourg;4;Chicago, IL
1;yes;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);female;40 - 49;44;0;1;57,9792;60;Cherbourg;4;Chicago, IL
1;yes;Hogeboom, Mrs. John C (Anna Andrews);female;50 - 59;51;1;0;77,9583;80;Southampton;10;Hudson, NY
1;no;Holverson, Mr. Alexander Oskar;male;40 - 49;42;1;0;52;50;Southampton;;New York, NY
1;yes;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);female;30 - 39;35;1;0;52;50;Southampton;8;New York, NY
1;yes;"Homer, Mr. Harry (""Mr E Haven"")";male;30 - 39;35;0;0;26,55;30;Cherbourg;15;Indianapolis, IN
1;yes;Hoyt, Mr. Frederick Maxfield;male;30 - 39;38;1;0;90;90;Southampton;D;New York, NY / Stamford CT
1;no;Hoyt, Mr. William Fisher;male;unknown;;0;0;30,6958;30;Cherbourg;14;New York, NY
1;yes;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);female;30 - 39;35;1;0;90;90;Southampton;D;New York, NY / Stamford CT
1;yes;Icard, Miss. Amelie;female;30 - 39;38;0;0;80;80;;6;
1;no;Isham, Miss. Ann Elizabeth;female;50 - 59;50;0;0;28,7125;30;Cherbourg;;Paris, France New York, NY
1;yes;Ismay, Mr. Joseph Bruce;male;40 - 49;49;0;0;0;0;Southampton;C;Liverpool
1;no;Jones, Mr. Charles Cresson;male;40 - 49;46;0;0;26;30;Southampton;;Bennington, VT
1;no;Julian, Mr. Henry Forbes;male;50 - 59;50;0;0;26;30;Southampton;;London
1;no;Keeping, Mr. Edwin;male;30 - 39;32,5;0;0;211,5;210;Cherbourg;;
1;no;Kent, Mr. Edward Austin;male;50 - 59;58;0;0;29,7;30;Cherbourg;;Buffalo, NY
1;no;Kenyon, Mr. Frederick R;male;40 - 49;41;1;0;51,8625;50;Southampton;;Southington / Noank, CT
1;yes;Kenyon, Mrs. Frederick R (Marion);female;unknown;;1;0;51,8625;50;Southampton;8;Southington / Noank, CT
1;yes;Kimball, Mr. Edwin Nelson Jr;male;40 - 49;42;1;0;52,5542;50;Southampton;5;Boston, MA
1;yes;Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons);female;40 - 49;45;1;0;52,5542;50;Southampton;5;Boston, MA
1;no;Klaber, Mr. Herman;male;unknown;;0;0;26,55;30;Southampton;;Portland, OR
1;yes;Kreuchen, Miss. Emilie;female;30 - 39;39;0;0;211,3375;210;Southampton;2;
1;yes;Leader, Dr. Alice (Farnham);female;40 - 49;49;0;0;25,9292;30;Southampton;8;New York, NY
1;yes;LeRoy, Miss. Bertha;female;30 - 39;30;0;0;106,425;110;Cherbourg;2;
1;yes;Lesurer, Mr. Gustave J;male;30 - 39;35;0;0;512,3292;510;Cherbourg;3;
1;no;Lewy, Mr. Ervin G;male;unknown;;0;0;27,7208;30;Cherbourg;;Chicago, IL
1;no;"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")";male;40 - 49;42;0;0;26,55;30;Southampton;;Stockholm, Sweden
1;yes;Lindstrom, Mrs. Carl Johan (Sigrid Posse);female;50 - 59;55;0;0;27,7208;30;Cherbourg;6;Stockholm, Sweden
1;yes;Lines, Miss. Mary Conover;female;10 - 19;16;0;1;39,4;40;Southampton;9;Paris, France
1;yes;Lines, Mrs. Ernest H (Elizabeth Lindsey James);female;50 - 59;51;0;1;39,4;40;Southampton;9;Paris, France
1;no;Long, Mr. Milton Clyde;male;20 - 29;29;0;0;30;30;Southampton;;Springfield, MA
1;yes;Longley, Miss. Gretchen Fiske;female;20 - 29;21;0;0;77,9583;80;Southampton;10;Hudson, NY
1;no;Loring, Mr. Joseph Holland;male;30 - 39;30;0;0;45,5;50;Southampton;;London / New York, NY
1;yes;Lurette, Miss. Elise;female;50 - 59;58;0;0;146,5208;150;Cherbourg;;
1;yes;Madill, Miss. Georgette Alexandra;female;10 - 19;15;0;1;211,3375;210;Southampton;2;St Louis, MO
1;no;Maguire, Mr. John Edward;male;30 - 39;30;0;0;26;30;Southampton;;Brockton, MA
1;yes;Maioni, Miss. Roberta;female;10 - 19;16;0;0;86,5;90;Southampton;8;
1;yes;Marechal, Mr. Pierre;male;unknown;;0;0;29,7;30;Cherbourg;7;Paris, France
1;no;Marvin, Mr. Daniel Warner;male;10 - 19;19;1;0;53,1;50;Southampton;;New York, NY
1;yes;Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson);female;10 - 19;18;1;0;53,1;50;Southampton;10;New York, NY
1;yes;"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")";female;20 - 29;24;0;0;49,5042;50;Cherbourg;6;Belgium Montreal, PQ
1;no;McCaffry, Mr. Thomas Francis;male;40 - 49;46;0;0;75,2417;80;Cherbourg;;Vancouver, BC
1;no;McCarthy, Mr. Timothy J;male;50 - 59;54;0;0;51,8625;50;Southampton;;Dorchester, MA
1;yes;McGough, Mr. James Robert;male;30 - 39;36;0;0;26,2875;30;Southampton;7;Philadelphia, PA
1;no;Meyer, Mr. Edgar Joseph;male;20 - 29;28;1;0;82,1708;80;Cherbourg;;New York, NY
1;yes;Meyer, Mrs. Edgar Joseph (Leila Saks);female;unknown;;1;0;82,1708;80;Cherbourg;6;New York, NY
1;no;Millet, Mr. Francis Davis;male;60 - 69;65;0;0;26,55;30;Southampton;;East Bridgewater, MA
1;no;Minahan, Dr. William Edward;male;40 - 49;44;2;0;90;90;Queenstown;;Fond du Lac, WI
1;yes;Minahan, Miss. Daisy E;female;30 - 39;33;1;0;90;90;Queenstown;14;Green Bay, WI
1;yes;Minahan, Mrs. William Edward (Lillian E Thorpe);female;30 - 39;37;1;0;90;90;Queenstown;14;Fond du Lac, WI
1;yes;Mock, Mr. Philipp Edmund;male;30 - 39;30;1;0;57,75;60;Cherbourg;11;New York, NY
1;no;Molson, Mr. Harry Markland;male;50 - 59;55;0;0;30,5;30;Southampton;;Montreal, PQ
1;no;Moore, Mr. Clarence Bloomfield;male;40 - 49;47;0;0;42,4;40;Southampton;;Washington, DC
1;no;Natsch, Mr. Charles H;male;30 - 39;37;0;1;29,7;30;Cherbourg;;Brooklyn, NY
1;yes;Newell, Miss. Madeleine;female;30 - 39;31;1;0;113,275;110;Cherbourg;6;Lexington, MA
1;yes;Newell, Miss. Marjorie;female;20 - 29;23;1;0;113,275;110;Cherbourg;6;Lexington, MA
1;no;Newell, Mr. Arthur Webster;male;50 - 59;58;0;2;113,275;110;Cherbourg;;Lexington, MA
1;yes;Newsom, Miss. Helen Monypeny;female;10 - 19;19;0;2;26,2833;30;Southampton;5;New York, NY
1;no;Nicholson, Mr. Arthur Ernest;male;60 - 69;64;0;0;26;30;Southampton;;Isle of Wight, England
1;yes;Oliva y Ocana, Dona. Fermina;female;30 - 39;39;0;0;108,9;110;Cherbourg;8;
1;yes;Omont, Mr. Alfred Fernand;male;unknown;;0;0;25,7417;30;Cherbourg;7;Paris, France
1;yes;Ostby, Miss. Helene Ragnhild;female;20 - 29;22;0;1;61,9792;60;Cherbourg;5;Providence, RI
1;no;Ostby, Mr. Engelhart Cornelius;male;60 - 69;65;0;1;61,9792;60;Cherbourg;;Providence, RI
1;no;Ovies y Rodriguez, Mr. Servando;male;20 - 29;28,5;0;0;27,7208;30;Cherbourg;;?Havana, Cuba
1;no;Parr, Mr. William Henry Marsh;male;unknown;;0;0;0;0;Southampton;;Belfast
1;no;Partner, Mr. Austen;male;40 - 49;45,5;0;0;28,5;30;Southampton;;Surbiton Hill, Surrey
1;no;Payne, Mr. Vivian Ponsonby;male;20 - 29;23;0;0;93,5;90;Southampton;;Montreal, PQ
1;no;Pears, Mr. Thomas Clinton;male;20 - 29;29;1;0;66,6;70;Southampton;;Isleworth, England
1;yes;Pears, Mrs. Thomas (Edith Wearne);female;20 - 29;22;1;0;66,6;70;Southampton;8;Isleworth, England
1;no;Penasco y Castellana, Mr. Victor de Satode;male;10 - 19;18;1;0;108,9;110;Cherbourg;;Madrid, Spain
1;yes;Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);female;10 - 19;17;1;0;108,9;110;Cherbourg;8;Madrid, Spain
1;yes;Perreault, Miss. Anne;female;30 - 39;30;0;0;93,5;90;Southampton;3;
1;yes;Peuchen, Major. Arthur Godfrey;male;50 - 59;52;0;0;30,5;30;Southampton;6;Toronto, ON
